标准编号,标准名称
ISO 17201-3:2019,Acoustics — Noise from shooting ranges — Part 3: Sound propagation calculations
ISO 8297:1994,Acoustics — Determination of sound power levels of multisource industrial plants for evaluation of sound pressure levels in the environment — Engineering method
ISO 9053-1:2018,Acoustics — Determination of airflow resistance — Part 1: Static airflow method
ISO 17497-1:2004,Acoustics — Sound-scattering properties of surfaces — Part 1: Measurement of the random-incidence scattering coefficient in a reverberation room
ISO 3745:2012,Acoustics — Determination of sound power levels and sound energy levels of noise sources using sound pressure — Precision methods for anechoic rooms and hemi-anechoic rooms
ISO 532-1:2017,Acoustics — Methods for calculating loudness — Part 1: Zwicker method
ISO 10847:1997,Acoustics — In-situ determination of insertion loss of outdoor noise barriers of all types
ISO 9613-2:2024,Acoustics — Attenuation of sound during propagation outdoors — Part 2: Engineering method for the prediction of sound pressure levels outdoors
ISO 354:2003,Acoustics — Measurement of sound absorption in a reverberation room
ISO 16283-3:2016,Acoustics — Field measurement of sound insulation in buildings and of building elements — Part 3: Façade sound insulation
ISO 20189:2018,"Acoustics — Screens, furniture and single objects intended for interior use — Rating of sound absorption and sound reduction of elements based on laboratory measurements"
ISO 389-7:2019,Acoustics — Reference zero for the calibration of audiometric equipment — Part 7: Reference threshold of hearing under free-field and diffuse-field listening conditions
ISO 7029:2017/Amd 1:2024,Acoustics — Statistical distribution of hearing thresholds related to age and gender — Amendment 1: Correction of parameter values for estimating the hearing threshold distribution
ISO 20270:2019,Acoustics — Characterization of sources of structure-borne sound and vibration — Indirect measurement of blocked forces
ISO 532-3:2023,Acoustics — Methods for calculating loudness — Part 3: Moore-Glasberg-Schlittenlacher method
ISO 7779:2018,Acoustics — Measurement of airborne noise emitted by information technology and telecommunications equipment
ISO/TS 11819-3:2021,Acoustics — Measurement of the influence of road surfaces on traffic noise — Part 3: Reference tyres
ISO 3740:2019,Acoustics — Determination of sound power levels of noise sources — Guidelines for the use of basic standards
ISO 11821:1997,Acoustics — Measurement of the in situ sound attenuation of a removable screen
